label,narrow_cpr_pct,proximity_pct,max_wick_pct,st_period,st_mult,total_trades,win_rate,total_pnl,pnl_pct,profit_factor,max_drawdown,sharpe,avg_trades_per_day,exit_reasons
CPR1.0_PROX5.0_WICK25.0,1.0,5.0,25.0,7,3.0,25,60.0,18509.0,1.85,1.42,2.44,0.54,0.06,"{'EOD': 23, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR3.0_PROX5.0_WICK15.0,3.0,5.0,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR5.0_PROX1.0_WICK15.0,5.0,1.0,15.0,7,3.0,17,41.18,-4204.0,-0.42,0.9,2.4,-0.16,0.04,"{'EOD': 14, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR5.0_PROX5.0_WICK25.0,5.0,5.0,25.0,7,3.0,35,48.57,2185.0,0.22,1.03,3.01,0.06,0.09,"{'EOD': 31, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR2.0_PROX1.5_WICK15.0,2.0,1.5,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR2.0_PROX5.0_WICK15.0,2.0,5.0,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR3.0_PROX1.0_WICK25.0,3.0,1.0,25.0,7,3.0,23,52.17,19787.0,1.98,1.46,2.17,0.66,0.06,"{'EOD': 20, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR1.5_PROX5.0_WICK25.0,1.5,5.0,25.0,7,3.0,29,58.62,22821.0,2.28,1.48,2.44,0.64,0.07,"{'EOD': 26, 'SUPERTREND_FLIP': 2, 'SL': 1}"
CPR1.5_PROX1.5_WICK15.0,1.5,1.5,15.0,7,3.0,19,52.63,4240.0,0.42,1.12,2.62,0.15,0.05,"{'EOD': 17, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR3.0_PROX2.0_WICK25.0,3.0,2.0,25.0,7,3.0,33,51.52,9555.0,0.96,1.16,2.82,0.29,0.08,"{'EOD': 29, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR1.0_PROX5.0_WICK40.0,1.0,5.0,40.0,7,3.0,33,57.58,20739.0,2.07,1.36,2.59,0.55,0.08,"{'CPR_BREACH': 1, 'EOD': 29, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR3.0_PROX5.0_WICK25.0,3.0,5.0,25.0,7,3.0,34,50.0,3996.0,0.4,1.06,2.83,0.12,0.09,"{'EOD': 30, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR5.0_PROX1.0_WICK25.0,5.0,1.0,25.0,7,3.0,23,52.17,19787.0,1.98,1.46,2.17,0.66,0.06,"{'EOD': 20, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR5.0_PROX2.0_WICK40.0,5.0,2.0,40.0,7,3.0,42,50.0,10834.0,1.08,1.14,3.16,0.3,0.11,"{'EOD': 36, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR5.0_PROX5.0_WICK40.0,5.0,5.0,40.0,7,3.0,44,47.73,3464.0,0.35,1.04,3.89,0.09,0.11,"{'EOD': 38, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR2.0_PROX1.5_WICK25.0,2.0,1.5,25.0,7,3.0,31,51.61,10084.0,1.01,1.17,2.77,0.31,0.08,"{'EOD': 27, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR2.0_PROX5.0_WICK25.0,2.0,5.0,25.0,7,3.0,34,50.0,3996.0,0.4,1.06,2.83,0.12,0.09,"{'EOD': 30, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR3.0_PROX1.0_WICK40.0,3.0,1.0,40.0,7,3.0,31,51.61,22017.0,2.2,1.39,2.33,0.65,0.08,"{'EOD': 26, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 1, 'SL': 3}"
CPR1.5_PROX5.0_WICK40.0,1.5,5.0,40.0,7,3.0,37,56.76,25051.0,2.51,1.41,2.82,0.65,0.09,"{'EOD': 32, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR1.5_PROX1.5_WICK25.0,1.5,1.5,25.0,7,3.0,27,59.26,26483.0,2.65,1.64,2.62,0.76,0.07,"{'EOD': 24, 'SUPERTREND_FLIP': 2, 'SL': 1}"
CPR3.0_PROX2.0_WICK40.0,3.0,2.0,40.0,7,3.0,42,50.0,10834.0,1.08,1.14,3.16,0.3,0.11,"{'EOD': 36, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR1.5_PROX0.5_WICK15.0,1.5,0.5,15.0,7,3.0,11,36.36,4640.0,0.46,1.2,1.88,0.2,0.03,"{'EOD': 10, 'SL': 1}"
CPR3.0_PROX5.0_WICK40.0,3.0,5.0,40.0,7,3.0,43,48.84,5275.0,0.53,1.07,3.71,0.14,0.11,"{'EOD': 37, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR5.0_PROX3.0_WICK15.0,5.0,3.0,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR5.0_PROX1.0_WICK40.0,5.0,1.0,40.0,7,3.0,31,51.61,22017.0,2.2,1.39,2.33,0.65,0.08,"{'EOD': 26, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 1, 'SL': 3}"
CPR2.0_PROX1.5_WICK40.0,2.0,1.5,40.0,7,3.0,40,50.0,11364.0,1.14,1.16,3.1,0.31,0.1,"{'EOD': 34, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR3.0_PROX1.5_WICK15.0,3.0,1.5,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR2.0_PROX5.0_WICK40.0,2.0,5.0,40.0,7,3.0,43,48.84,5275.0,0.53,1.07,3.71,0.14,0.11,"{'EOD': 37, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
CPR2.0_PROX0.5_WICK15.0,2.0,0.5,15.0,7,3.0,12,33.33,3206.0,0.32,1.13,2.02,0.14,0.03,"{'EOD': 11, 'SL': 1}"
CPR1.5_PROX1.5_WICK40.0,1.5,1.5,40.0,7,3.0,35,57.14,28713.0,2.87,1.52,2.78,0.75,0.09,"{'EOD': 30, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR3.0_PROX3.0_WICK15.0,3.0,3.0,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR1.5_PROX0.5_WICK25.0,1.5,0.5,25.0,7,3.0,15,46.67,10371.0,1.04,1.41,1.88,0.42,0.04,"{'EOD': 14, 'SL': 1}"
CPR5.0_PROX0.5_WICK15.0,5.0,0.5,15.0,7,3.0,12,33.33,3206.0,0.32,1.13,2.02,0.14,0.03,"{'EOD': 11, 'SL': 1}"
CPR5.0_PROX3.0_WICK25.0,5.0,3.0,25.0,7,3.0,35,48.57,2185.0,0.22,1.03,3.01,0.06,0.09,"{'EOD': 31, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR5.0_PROX1.5_WICK15.0,5.0,1.5,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR3.0_PROX0.5_WICK15.0,3.0,0.5,15.0,7,3.0,12,33.33,3206.0,0.32,1.13,2.02,0.14,0.03,"{'EOD': 11, 'SL': 1}"
CPR2.0_PROX2.0_WICK15.0,2.0,2.0,15.0,7,3.0,21,47.62,-6862.0,-0.69,0.86,2.77,-0.24,0.05,"{'EOD': 18, 'SUPERTREND_FLIP': 1, 'SL': 2}"
CPR3.0_PROX1.5_WICK25.0,3.0,1.5,25.0,7,3.0,31,51.61,10084.0,1.01,1.17,2.77,0.31,0.08,"{'EOD': 27, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR2.0_PROX0.5_WICK25.0,2.0,0.5,25.0,7,3.0,16,43.75,8937.0,0.89,1.33,2.02,0.36,0.04,"{'EOD': 15, 'SL': 1}"
CPR1.5_PROX2.0_WICK15.0,1.5,2.0,15.0,7,3.0,19,52.63,4240.0,0.42,1.12,2.62,0.15,0.05,"{'EOD': 17, 'SUPERTREND_FLIP': 1, 'SL': 1}"
CPR3.0_PROX3.0_WICK25.0,3.0,3.0,25.0,7,3.0,34,50.0,3996.0,0.4,1.06,2.83,0.12,0.09,"{'EOD': 30, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR1.5_PROX0.5_WICK40.0,1.5,0.5,40.0,7,3.0,20,50.0,15376.0,1.54,1.55,2.02,0.6,0.05,"{'EOD': 19, 'SL': 1}"
CPR5.0_PROX0.5_WICK25.0,5.0,0.5,25.0,7,3.0,16,43.75,8937.0,0.89,1.33,2.02,0.36,0.04,"{'EOD': 15, 'SL': 1}"
CPR5.0_PROX1.5_WICK25.0,5.0,1.5,25.0,7,3.0,31,51.61,10084.0,1.01,1.17,2.77,0.31,0.08,"{'EOD': 27, 'SUPERTREND_FLIP': 2, 'SL': 2}"
CPR5.0_PROX3.0_WICK40.0,5.0,3.0,40.0,7,3.0,44,47.73,3464.0,0.35,1.04,3.89,0.09,0.11,"{'EOD': 38, 'CPR_BREACH': 1, 'SUPERTREND_FLIP': 2, 'SL': 3}"
