Symbol,Company,Industry,Sector
CRISIL,CRISIL Ltd.,FINANCIAL SERVICES,Financial Services
CANFINHOME,Can Fin Homes Ltd.,FINANCIAL SERVICES,Financial Services
CANBK,Canara Bank,FINANCIAL SERVICES,Financial Services
CAPLIPOINT,Caplin Point Laboratories Ltd.,PHARMA,Healthcare
CGCL,Capri Global Capital Ltd.,FINANCIAL SERVICES,Financial Services
CARBORUNIV,Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
CASTROLIND,Castrol India Ltd.,ENERGY,Energy
CEATLTD,Ceat Ltd.,AUTOMOBILE,Automobile
CENTRALBK,Central Bank of India,FINANCIAL SERVICES,Financial Services
CDSL,Central Depository Services (India) Ltd.,FINANCIAL SERVICES,Financial Services
CENTURYPLY,Century Plyboards (India) Ltd.,CONSUMER GOODS,Consumer Goods
CERA,Cera Sanitaryware Ltd.,CONSTRUCTION,Construction
CHALET,Chalet Hotels Ltd.,SERVICES,Services
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
CHENNPETRO,Chennai Petroleum Corporation Ltd.,ENERGY,Energy
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,Financial Services
CIPLA,Cipla Ltd.,PHARMA,Healthcare
CUB,City Union Bank Ltd.,FINANCIAL SERVICES,Financial Services
COALINDIA,Coal India Ltd.,METALS,Metals & Mining
COCHINSHIP,Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
COLPAL,Colgate Palmolive (India) Ltd.,CONSUMER GOODS,Consumer Goods
CONCOR,Container Corporation of India Ltd.,SERVICES,Services
COROMANDEL,Coromandel International Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
CREDITACC,CreditAccess Grameen Ltd.,FINANCIAL SERVICES,Financial Services
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,Consumer Goods
CUMMINSIND,Cummins India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
CYIENT,Cyient Ltd.,IT,Information Technology
DBCORP,D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,Media
DCBBANK,DCB Bank Ltd.,FINANCIAL SERVICES,Financial Services
DCMSHRIRAM,DCM Shriram Ltd.,CONSUMER GOODS,Consumer Goods
DLF,DLF Ltd.,CONSTRUCTION,Construction
DABUR,Dabur India Ltd.,CONSUMER GOODS,Consumer Goods
DALBHARAT,Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,Cement
DEEPAKNTR,Deepak Nitrite Ltd.,CHEMICALS,Chemicals
DELTACORP,Delta Corp Ltd.,SERVICES,Services
DBL,Dilip Buildcon Ltd.,CONSTRUCTION,Construction
DIVISLAB,Divi's Laboratories Ltd.,PHARMA,Healthcare
DIXON,Dixon Technologies (India) Ltd.,CONSUMER GOODS,Consumer Goods
LALPATHLAB,Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,Healthcare
DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMA,Healthcare
EIDPARRY,E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
EIHOTEL,EIH Ltd.,SERVICES,Services
EDELWEISS,Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,Financial Services
EICHERMOT,Eicher Motors Ltd.,AUTOMOBILE,Automobile
ELGIEQUIP,Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
EMAMILTD,Emami Ltd.,CONSUMER GOODS,Consumer Goods
ENDURANCE,Endurance Technologies Ltd.,AUTOMOBILE,Automobile
ENGINERSIN,Engineers India Ltd.,CONSTRUCTION,Construction
ERIS,Eris Lifesciences Ltd.,PHARMA,Healthcare
ESCORTS,Escorts Ltd.,AUTOMOBILE,Automobile
EXIDEIND,Exide Industries Ltd.,AUTOMOBILE,Automobile
FDC,FDC Ltd.,PHARMA,Healthcare
FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,Financial Services
FINEORG,Fine Organic Industries Ltd.,CHEMICALS,Chemicals
FINCABLES,Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
FINPIPE,Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
FSL,Firstsource Solutions Ltd.,IT,Information Technology
FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,Healthcare
GAIL,GAIL (India) Ltd.,ENERGY,Energy
GHCL,GHCL Ltd.,CHEMICALS,Chemicals
GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,Construction
GALAXYSURF,Galaxy Surfactants Ltd.,CHEMICALS,Chemicals
GARFIBRES,Garware Technical Fibres Ltd.,TEXTILES,Textiles
GICRE,General Insurance Corporation of India,FINANCIAL SERVICES,Financial Services
GILLETTE,Gillette India Ltd.,CONSUMER GOODS,Consumer Goods
GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMA,Healthcare
GODFRYPHLP,Godfrey Phillips India Ltd.,CONSUMER GOODS,Consumer Goods
GODREJAGRO,Godrej Agrovet Ltd.,CONSUMER GOODS,Consumer Goods
GODREJCP,Godrej Consumer Products Ltd.,CONSUMER GOODS,Consumer Goods
GODREJIND,Godrej Industries Ltd.,CONSUMER GOODS,Consumer Goods
GODREJPROP,Godrej Properties Ltd.,CONSTRUCTION,Construction
GRANULES,Granules India Ltd.,PHARMA,Healthcare
GRAPHITE,Graphite India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,Cement
GESHIP,Great Eastern Shipping Co. Ltd.,SERVICES,Services
GRINDWELL,Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
GUJALKALI,Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,Chemicals
GUJGASLTD,Gujarat Gas Ltd.,ENERGY,Energy
GMDCLTD,Gujarat Mineral Development Corporation Ltd.,METALS,Metals & Mining
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,Chemicals
GPPL,Gujarat Pipavav Port Ltd.,SERVICES,Services
GSFC,Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
GSPL,Gujarat State Petronet Ltd.,ENERGY,Energy
GULFOILLUB,Gulf Oil Lubricants India Ltd.,ENERGY,Energy
HEG,H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
HCLTECH,HCL Technologies Ltd.,IT,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,Financial Services
HDFCBANK,HDFC Bank Ltd.,FINANCIAL SERVICES,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,Financial Services
HFCL,HFCL Ltd.,TELECOM,Telecom
HATSUN,Hatsun Agro Product Ltd.,CONSUMER GOODS,Consumer Goods
HAVELLS,Havells India Ltd.,CONSUMER GOODS,Consumer Goods
HEIDELBERG,HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,Cement
HERITGFOOD,Heritage Foods Ltd.,CONSUMER GOODS,Consumer Goods
HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILE,Automobile
HINDALCO,Hindalco Industries Ltd.,METALS,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
HINDCOPPER,Hindustan Copper Ltd.,METALS,Metals & Mining
HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,Energy
HINDUNILVR,Hindustan Unilever Ltd.,CONSUMER GOODS,Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,METALS,Metals & Mining
HONAUT,Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
HUDCO,Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,Financial Services
ICICIBANK,ICICI Bank Ltd.,FINANCIAL SERVICES,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,Financial Services
ISEC,ICICI Securities Ltd.,FINANCIAL SERVICES,Financial Services
IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,FINANCIAL SERVICES,Financial Services
IFBIND,IFB Industries Ltd.,CONSUMER GOODS,Consumer Goods
IIFL,IIFL Finance Ltd.,FINANCIAL SERVICES,Financial Services
IRB,IRB Infrastructure Developers Ltd.,CONSTRUCTION,Construction
IRCON,IRCON International Ltd.,CONSTRUCTION,Construction
ITC,ITC Ltd.,CONSUMER GOODS,Consumer Goods
ITDCEM,ITD Cementation India Ltd.,CONSTRUCTION,Construction
INDIACEM,India Cements Ltd.,CEMENT & CEMENT PRODUCTS,Cement
INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,Services
IOC,Indian Oil Corporation Ltd.,ENERGY,Energy
INDIANB,Indian Bank,FINANCIAL SERVICES,Financial Services
IEX,Indian Energy Exchange Ltd.,FINANCIAL SERVICES,Financial Services
IOB,Indian Overseas Bank,FINANCIAL SERVICES,Financial Services
IGL,Indraprastha Gas Ltd.,ENERGY,Energy
INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,Financial Services
NAUKRI,Info Edge (India) Ltd.,IT,Information Technology
INFY,Infosys Ltd.,IT,Information Technology
INTELLECT,Intellect Design Arena Ltd.,IT,Information Technology
INDIGO,InterGlobe Aviation Ltd.,SERVICES,Services
IPCALAB,Ipca Laboratories Ltd.,PHARMA,Healthcare
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,Healthcare
JKCEMENT,J.K. Cement Ltd.,CEMENT & CEMENT PRODUCTS,Cement
JKLAKSHMI,JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,Cement
JKPAPER,JK Paper Ltd.,PAPER,Paper
JKTYRE,JK Tyre & Industries Ltd.,AUTOMOBILE,Automobile
JMFINANCIL,JM Financial Ltd.,FINANCIAL SERVICES,Financial Services
JSWENERGY,JSW Energy Ltd.,ENERGY,Energy
JSWSTEEL,JSW Steel Ltd.,METALS,Metals & Mining
J&KBANK,Jammu & Kashmir Bank Ltd.,FINANCIAL SERVICES,Financial Services
JAMNAAUTO,Jamna Auto Industries Ltd.,AUTOMOBILE,Automobile
JINDALSAW,Jindal Saw Ltd.,METALS,Metals & Mining
JSL,Jindal Stainless Ltd.,METALS,Metals & Mining
JINDALSTEL,Jindal Steel & Power Ltd.,METALS,Metals & Mining
JUBLFOOD,Jubilant Foodworks Ltd.,CONSUMER GOODS,Consumer Goods
JUSTDIAL,JustDial Ltd.,IT,Information Technology
JYOTHYLAB,Jyothy Labs Ltd.,CONSUMER GOODS,Consumer Goods
KPRMILL,K.P.R. Mill Ltd.,TEXTILES,Textiles
KEI,KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
KNRCON,KNR Constructions Ltd.,CONSTRUCTION,Construction
KPITTECH,KPIT Technologies Ltd.,IT,Information Technology
KRBL,KRBL Ltd.,CONSUMER GOODS,Consumer Goods
KAJARIACER,Kajaria Ceramics Ltd.,CONSTRUCTION,Construction
KANSAINER,Kansai Nerolac Paints Ltd.,CONSUMER GOODS,Consumer Goods
KTKBANK,Karnataka Bank Ltd.,FINANCIAL SERVICES,Financial Services
KARURVYSYA,Karur Vysya Bank Ltd.,FINANCIAL SERVICES,Financial Services
KEC,KEC International Ltd.,CONSTRUCTION,Construction
KOTAKBANK,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,Financial Services
L&TFH,L&T Finance Holdings Ltd.,FINANCIAL SERVICES,Financial Services
LTTS,L&T Technology Services Ltd.,IT,Information Technology
LICHSGFIN,LIC Housing Finance Ltd.,FINANCIAL SERVICES,Financial Services
LAXMIMACH,Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
LTI,Larsen & Toubro Infotech Ltd.,IT,Information Technology
LT,Larsen & Toubro Ltd.,CONSTRUCTION,Construction
LAURUSLABS,Laurus Labs Ltd.,PHARMA,Healthcare
LEMONTREE,Lemon Tree Hotels Ltd.,SERVICES,Services
LINDEINDIA,Linde India Ltd.,CHEMICALS,Chemicals
LUPIN,Lupin Ltd.,PHARMA,Healthcare
LUXIND,Lux Industries Ltd.,TEXTILES,Textiles
MASFIN,MAS Financial Services Ltd.,FINANCIAL SERVICES,Financial Services
MOIL,MOIL Ltd.,METALS,Metals & Mining
MRF,MRF Ltd.,AUTOMOBILE,Automobile
MGL,Mahanagar Gas Ltd.,ENERGY,Energy
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCIAL SERVICES,Financial Services
M&M,Mahindra & Mahindra Ltd.,AUTOMOBILE,Automobile
MAHINDCIE,Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
MHRIL,Mahindra Holidays & Resorts India Ltd.,SERVICES,Services
MANAPPURAM,Manappuram Finance Ltd.,FINANCIAL SERVICES,Financial Services
MRPL,Mangalore Refinery & Petrochemicals Ltd.,ENERGY,Energy
MARICO,Marico Ltd.,CONSUMER GOODS,Consumer Goods
MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILE,Automobile
MFSL,Max Financial Services Ltd.,FINANCIAL SERVICES,Financial Services
METROPOLIS,Metropolis Healthcare Ltd.,HEALTHCARE SERVICES,Healthcare
MINDTREE,MindTree Ltd.,IT,Information Technology
MINDACORP,Minda Corporation Ltd.,AUTOMOBILE,Automobile
MINDAIND,Minda Industries Ltd.,AUTOMOBILE,Automobile
MIDHANI,Mishra Dhatu Nigam Ltd.,METALS,Metals & Mining
MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTOMOBILE,Automobile
MOTILALOFS,Motilal Oswal Financial Services Ltd.,FINANCIAL SERVICES,Financial Services
MPHASIS,MphasiS Ltd.,IT,Information Technology
MCX,Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,Financial Services
MUTHOOTFIN,Muthoot Finance Ltd.,FINANCIAL SERVICES,Financial Services
NATCOPHARM,NATCO Pharma Ltd.,PHARMA,Healthcare
NBCC,NBCC (India) Ltd.,CONSTRUCTION,Construction
NCC,NCC Ltd.,CONSTRUCTION,Construction
NHPC,NHPC Ltd.,ENERGY,Energy
NLCINDIA,NLC India Ltd.,ENERGY,Energy
NMDC,NMDC Ltd.,METALS,Metals & Mining
NTPC,NTPC Ltd.,ENERGY,Energy
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,Healthcare
NATIONALUM,National Aluminium Co. Ltd.,METALS,Metals & Mining
NFL,National Fertilizers Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
NAVINFLUOR,Navin Fluorine International Ltd.,CHEMICALS,Chemicals
NESTLEIND,Nestle India Ltd.,CONSUMER GOODS,Consumer Goods
NETWORK18,Network18 Media & Investments Ltd.,MEDIA & ENTERTAINMENT,Media
NILKAMAL,Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
NAM-INDIA,Nippon Life India Asset Management Ltd.,FINANCIAL SERVICES,Financial Services
OBEROIRLTY,Oberoi Realty Ltd.,CONSTRUCTION,Construction
ONGC,Oil & Natural Gas Corporation Ltd.,ENERGY,Energy
OIL,Oil India Ltd.,ENERGY,Energy
OFSS,Oracle Financial Services Software Ltd.,IT,Information Technology
ORIENTCEM,Orient Cement Ltd.,CEMENT & CEMENT PRODUCTS,Cement
ORIENTELEC,Orient Electric Ltd.,CONSUMER GOODS,Consumer Goods
PIIND,PI Industries Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
PNBHOUSING,PNB Housing Finance Ltd.,FINANCIAL SERVICES,Financial Services
PNCINFRA,PNC Infratech Ltd.,CONSTRUCTION,Construction
PTC,PTC India Ltd.,ENERGY,Energy
PVR,PVR Ltd.,MEDIA & ENTERTAINMENT,Media
PAGEIND,Page Industries Ltd.,TEXTILES,Textiles
PERSISTENT,Persistent Systems Ltd.,IT,Information Technology
PETRONET,Petronet LNG Ltd.,ENERGY,Energy
PFIZER,Pfizer Ltd.,PHARMA,Healthcare
PHILIPCARB,Phillips Carbon Black Ltd.,CHEMICALS,Chemicals
PHOENIXLTD,Phoenix Mills Ltd.,CONSTRUCTION,Construction
PIDILITIND,Pidilite Industries Ltd.,CHEMICALS,Chemicals
PEL,Piramal Enterprises Ltd.,PHARMA,Healthcare
POLYCAB,Polycab India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
PFC,Power Finance Corporation Ltd.,FINANCIAL SERVICES,Financial Services
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,Energy
PRAJIND,Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
PRESTIGE,Prestige Estates Projects Ltd.,CONSTRUCTION,Construction
PGHH,Procter & Gamble Hygiene & Health Care Ltd.,CONSUMER GOODS,Consumer Goods
PNB,Punjab National Bank,FINANCIAL SERVICES,Financial Services
RBLBANK,RBL Bank Ltd.,FINANCIAL SERVICES,Financial Services
RECLTD,REC Ltd.,FINANCIAL SERVICES,Financial Services
RITES,RITES Ltd.,CONSTRUCTION,Construction
RADICO,Radico Khaitan Ltd.,CONSUMER GOODS,Consumer Goods
RVNL,Rail Vikas Nigam Ltd.,CONSTRUCTION,Construction
RAIN,Rain Industries Ltd.,CHEMICALS,Chemicals
RAJESHEXPO,Rajesh Exports Ltd.,CONSUMER GOODS,Consumer Goods
RALLIS,Rallis India Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
RCF,Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
RATNAMANI,Ratnamani Metals & Tubes Ltd.,METALS,Metals & Mining
RAYMOND,Raymond Ltd.,TEXTILES,Textiles
REDINGTON,Redington (India) Ltd.,SERVICES,Services
RELAXO,Relaxo Footwears Ltd.,CONSUMER GOODS,Consumer Goods
RELIANCE,Reliance Industries Ltd.,ENERGY,Energy
SHK,S H Kelkar and Company Ltd.,CONSUMER GOODS,Consumer Goods
SBILIFE,SBI Life Insurance Company Ltd.,FINANCIAL SERVICES,Financial Services
SJVN,SJVN Ltd.,ENERGY,Energy
SKFINDIA,SKF India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
SRF,SRF Ltd.,TEXTILES,Textiles
SANOFI,Sanofi India Ltd.,PHARMA,Healthcare
SCHAEFFLER,Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
SIS,Security and Intelligence Services (India) Ltd.,SERVICES,Services
SFL,Sheela Foam Ltd.,CONSUMER GOODS,Consumer Goods
SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,Cement
SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCIAL SERVICES,Financial Services
SIEMENS,Siemens Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
SOBHA,Sobha Ltd.,CONSTRUCTION,Construction
SOLARINDS,Solar Industries India Ltd.,CHEMICALS,Chemicals
SONATSOFTW,Sonata Software Ltd.,IT,Information Technology
SOUTHBANK,South Indian Bank Ltd.,FINANCIAL SERVICES,Financial Services
SBIN,State Bank of India,FINANCIAL SERVICES,Financial Services
SAIL,Steel Authority of India Ltd.,METALS,Metals & Mining
STRTECH,Sterlite Technologies Ltd.,TELECOM,Telecom
STAR,Strides Pharma Science Ltd.,PHARMA,Healthcare
SUDARSCHEM,Sudarshan Chemical Industries Ltd.,CHEMICALS,Chemicals
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMA,Healthcare
SUNTV,Sun TV Network Ltd.,MEDIA & ENTERTAINMENT,Media
SUNDARMFIN,Sundaram Finance Ltd.,FINANCIAL SERVICES,Financial Services
SUNDRMFAST,Sundram Fasteners Ltd.,AUTOMOBILE,Automobile
SUPREMEIND,Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
SYMPHONY,Symphony Ltd.,CONSUMER GOODS,Consumer Goods
SYNGENE,Syngene International Ltd.,PHARMA,Healthcare
TCIEXP,TCI Express Ltd.,SERVICES,Services
TTKPRESTIG,TTK Prestige Ltd.,CONSUMER GOODS,Consumer Goods
TVSMOTOR,TVS Motor Company Ltd.,AUTOMOBILE,Automobile
TCS,Tata Consultancy Services Ltd.,IT,Information Technology
TATACONSUM,Tata Consumer Products Ltd.,CONSUMER GOODS,Consumer Goods
TATAELXSI,Tata Elxsi Ltd.,IT,Information Technology
TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,Automobile
TATAPOWER,Tata Power Co. Ltd.,ENERGY,Energy
TATASTEEL,Tata Steel Ltd.,METALS,Metals & Mining
TECHM,Tech Mahindra Ltd.,IT,Information Technology
NIACL,The New India Assurance Company Ltd.,FINANCIAL SERVICES,Financial Services
RAMCOCEM,The Ramco Cements Ltd.,CEMENT & CEMENT PRODUCTS,Cement
THERMAX,Thermax Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
THYROCARE,Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,Healthcare
TIMKEN,Timken India Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
TITAN,Titan Company Ltd.,CONSUMER GOODS,Consumer Goods
TORNTPHARM,Torrent Pharmaceuticals Ltd.,PHARMA,Healthcare
TORNTPOWER,Torrent Power Ltd.,ENERGY,Energy
TRENT,Trent Ltd.,CONSUMER GOODS,Consumer Goods
TRIDENT,Trident Ltd.,TEXTILES,Textiles
TRITURBINE,Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,Capital Goods
TIINDIA,Tube Investments of India Ltd.,AUTOMOBILE,Automobile
UCOBANK,UCO Bank,FINANCIAL SERVICES,Financial Services
UPL,UPL Ltd.,FERTILISERS & PESTICIDES,Agri Chemicals
ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,Cement
UNIONBANK,Union Bank of India,FINANCIAL SERVICES,Financial Services
