symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_win_rate,best_payoff,best_sharpe,robust_cells_count,promote
HDFCBANK,A,10min,t0.0050_ctxW_OR_N_w0.0065_n0.0070_10min_vm2.0_l,long,T_NO,12,0.7637,83.33,3.959,0.94884,572,False
AXISBANK,B,15min,t0.0030_ctxW_w0.0065_n0.0070_15min_off_l,long,T_NO,12,0.57,83.33,4.102,0.91599,642,False
ULTRACEMCO,B,10min,t0.0040_ctxW_OR_N_w0.0080_n0.0090_10min_off_s,short,T_ATR_SL_0.5,10,0.7055,90.0,0.81,0.84641,70,False
NTPC,B,10min,t0.0030_ctxW_w0.0065_n0.0070_10min_off_s,short,T_R_TARGET_1.0R,10,0.7863,90.0,2.946,0.81411,488,False
EICHERMOT,B,5min,t0.0030_ctxW_OR_N_w0.0050_n0.0050_5min_vm1.5_l,long,T_NO,10,0.721,80.0,10.634,0.79927,356,False
BANKBARODA,B,10min,t0.0030_ctxW_w0.0065_n0.0070_10min_vm1.5_s,short,T_NO,10,0.606,100.0,999.0,0.77761,1180,False
KOTAKBANK,A,10min,t0.0040_ctxW_OR_N_w0.0080_n0.0070_10min_vm2.0_s,short,T_R_TARGET_1.0R,10,0.5854,80.0,4.682,0.73239,229,False
BEL,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_vm1.5_s,short,T_ATR_SL_0.3,10,1.0042,80.0,1.465,0.73151,66,False
TITAN,B,5min,t0.0050_ctxW_w0.0050_n0.0070_5min_vm1.5_l,long,T_R_TARGET_1.0R,10,0.6612,80.0,2.765,0.72877,145,False
ADANIENT,B,10min,t0.0050_ctxW_OR_N_w0.0080_n0.0070_10min_off_s,short,T_ATR_SL_0.3,10,0.8945,80.0,1.508,0.72346,122,False
CIPLA,B,15min,t0.0030_ctxW_OR_N_w0.0065_n0.0070_15min_off_l,long,T_CHANDELIER_1.0,10,0.7863,80.0,13.622,0.71895,32,False
DIXON,B,15min,t0.0030_ctxW_w0.0050_n0.0070_15min_off_s,short,T_CHANDELIER_1.0,14,0.9405,71.43,4.335,0.7121,197,False
DIVISLAB,B,5min,t0.0040_ctxW_w0.0065_n0.0070_5min_vm2.0_l,long,T_R_TARGET_1.0R,11,1.0632,72.73,2.597,0.71189,357,False
GODREJCP,B,10min,t0.0030_ctxW_w0.0080_n0.0070_10min_off_l,long,T_R_TARGET_1.0R,14,0.7229,71.43,4.174,0.70082,1587,False
SUZLON,B,15min,t0.0050_ctxW_w0.0080_n0.0070_15min_off_s,short,T_NO,16,0.8633,81.25,1.748,0.6917,408,True
BAJFINANCE,B,15min,t0.0050_ctxW_w0.0050_n0.0070_15min_vm2.0_s,short,T_CHANDELIER_1.0,10,0.469,80.0,1.479,0.69059,493,False
INDIGO,B,15min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_15min_off_l,long,T_R_TARGET_1.0R,14,0.4869,85.71,1.199,0.67399,374,False
RVNL,B,10min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_10min_off_s,short,T_CHANDELIER_2.0,15,1.1518,80.0,3.352,0.67233,464,True
MARUTI,B,15min,t0.0040_ctxW_OR_N_w0.0050_n0.0090_15min_off_l,long,T_ATR_SL_0.3,13,0.8101,76.92,2.579,0.66821,175,False
BHARTIARTL,A,5min,t0.0030_ctxW_w0.0080_n0.0070_5min_vm2.0_s,short,T_R_TARGET_1.0R,20,1.4503,80.0,2.837,0.66716,882,True
INFY,A,10min,t0.0050_ctxW_w0.0080_n0.0070_10min_vm1.5_l,long,T_NO,14,0.4135,85.71,0.882,0.6644,233,False
BRITANNIA,B,10min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_10min_off_l,long,T_R_TARGET_1.0R,10,0.2817,80.0,8.535,0.65494,165,False
BHEL,B,15min,t0.0050_ctxW_w0.0050_n0.0070_15min_vm2.0_l,long,T_ATR_SL_0.3,10,0.6879,80.0,1.587,0.65205,166,False
ICICIBANK,A,10min,t0.0030_ctxW_w0.0080_n0.0070_10min_vm2.0_l,long,T_ATR_SL_0.3,14,1.2212,71.43,2.634,0.64308,692,False
BAJAJFINSV,B,15min,t0.0030_ctxW_w0.0050_n0.0070_15min_vm1.5_l,long,T_ATR_SL_0.3,16,0.4016,87.5,0.805,0.63963,165,True
CANBK,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_vm2.0_l,long,T_NO,10,1.0861,80.0,4.035,0.63451,743,False
HINDZINC,B,10min,t0.0030_ctxW_w0.0080_n0.0070_10min_off_s,short,T_ATR_SL_0.3,10,1.4133,80.0,1.708,0.63022,157,False
RECLTD,B,5min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_5min_off_l,long,T_R_TARGET_1.0R,11,0.4899,72.73,7.716,0.61408,49,False
ADANIPORTS,B,10min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_10min_off_l,long,T_ATR_SL_0.3,14,1.3189,71.43,3.516,0.61014,569,False
BSE,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_vm2.0_l,long,T_NO,10,0.8035,80.0,2.075,0.59351,703,False
FEDERALBNK,B,5min,t0.0040_ctxW_w0.0065_n0.0070_5min_vm1.5_l,long,T_NO,14,0.4636,71.43,4.845,0.59074,216,False
TECHM,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_vm1.5_l,long,T_ATR_SL_0.3,10,0.6268,80.0,1.271,0.56519,120,False
GMDCLTD,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_vm1.5_s,short,T_R_TARGET_1.0R,10,0.6307,80.0,1.487,0.56349,48,False
RELIANCE,A,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_vm2.0_l,long,T_ATR_SL_0.3,10,0.5516,80.0,1.167,0.55962,434,False
REDINGTON,B,10min,t0.0050_ctxW_w0.0050_n0.0070_10min_off_s,short,T_NO,15,0.8655,73.33,2.014,0.51845,164,True
COFORGE,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_vm2.0_l,long,T_NO,12,0.4383,83.33,0.944,0.51416,221,False
CDSL,B,5min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_5min_off_l,long,T_R_TARGET_1.0R,18,0.7011,77.78,1.605,0.51018,164,True
AUBANK,B,15min,t0.0050_ctxW_w0.0080_n0.0070_15min_vm1.5_l,long,T_NO,10,0.29,60.0,5.032,0.4989,142,False
HINDPETRO,B,5min,t0.0040_ctxW_OR_N_w0.0080_n0.0090_5min_vm1.5_l,long,T_ATR_SL_0.3,12,0.2228,83.33,0.656,0.4989,9,False
PERSISTENT,B,10min,t0.0030_ctxW_w0.0080_n0.0070_10min_off_s,short,T_NO,10,0.6732,70.0,3.01,0.4826,328,False
LAURUSLABS,B,15min,t0.0040_ctxW_w0.0050_n0.0070_15min_off_s,short,T_ATR_SL_0.3,11,0.6023,72.73,1.491,0.48114,100,False
HEROMOTOCO,B,15min,t0.0030_ctxW_OR_N_w0.0080_n0.0090_15min_off_s,short,T_R_TARGET_1.5R,20,0.4579,70.0,1.956,0.45759,36,False
HINDCOPPER,B,15min,t0.0030_ctxW_w0.0065_n0.0070_15min_off_s,short,T_NO,34,0.9383,64.71,3.173,0.43273,271,False
NATIONALUM,B,5min,t0.0040_ctxW_OR_N_w0.0065_n0.0070_5min_off_l,long,T_R_TARGET_1.0R,12,0.5589,75.0,1.371,0.41688,200,False
MUTHOOTFIN,B,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_off_l,long,T_R_TARGET_1.5R,12,0.6934,75.0,1.503,0.41366,180,False
POLYCAB,B,5min,t0.0040_ctxW_w0.0080_n0.0070_5min_off_l,long,T_R_TARGET_1.5R,11,0.8042,72.73,2.402,0.41231,84,False
CUMMINSIND,B,5min,t0.0050_ctxW_w0.0050_n0.0070_5min_vm2.0_l,long,T_ATR_SL_0.5,12,0.6618,83.33,0.781,0.40183,3,False
TCS,A,5min,t0.0030_ctxW_OR_N_w0.0080_n0.0050_5min_off_s,short,T_R_TARGET_1.0R,11,0.2825,72.73,1.247,0.38509,64,False
BAJAJ-AUTO,B,10min,t0.0040_ctxW_w0.0050_n0.0070_10min_vm1.5_s,short,T_ATR_SL_0.3,10,0.3798,80.0,0.878,0.37593,4,False
HINDALCO,B,10min,t0.0040_ctxW_w0.0080_n0.0070_10min_off_s,short,T_ATR_SL_0.3,10,0.2653,80.0,0.69,0.37111,13,False
SUNPHARMA,B,10min,t0.0040_ctxW_OR_N_w0.0065_n0.0070_10min_off_l,long,T_STEP_TRAIL,12,0.3669,50.0,18.289,0.35091,39,False
VBL,B,15min,t0.0030_ctxW_w0.0065_n0.0070_15min_off_l,long,T_NO,10,0.4644,70.0,1.393,0.31397,16,False
POWERGRID,B,10min,t0.0040_ctxW_OR_N_w0.0065_n0.0090_10min_off_s,short,T_STEP_TRAIL,11,0.28,72.73,1.006,0.30953,4,False
FORTIS,B,5min,t0.0040_ctxW_OR_N_w0.0080_n0.0050_5min_vm2.0_l,long,T_R_TARGET_1.0R,10,0.3399,60.0,2.197,0.30911,2,False
TRENT,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_vm1.5_s,short,T_CHANDELIER_1.0,11,0.9782,63.64,1.72,0.29874,0,False
PNB,B,10min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_10min_off_s,short,T_ATR_SL_0.3,13,0.4095,61.54,2.142,0.29705,0,False
AMBER,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_off_s,short,T_R_TARGET_1.0R,30,0.9103,60.0,2.994,0.28961,0,False
SBIN,A,15min,t0.0040_ctxW_w0.0050_n0.0070_15min_vm2.0_l,long,T_R_TARGET_1.0R,27,0.5965,59.26,2.521,0.2809,0,False
GODFRYPHLP,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_s,short,T_R_TARGET_1.0R,33,0.3989,66.67,1.829,0.27732,0,False
PFC,B,5min,t0.0030_ctxW_w0.0065_n0.0070_5min_off_l,long,T_ATR_SL_0.3,10,0.5731,60.0,1.945,0.26908,0,False
PAYTM,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_off_l,long,T_R_TARGET_1.5R,14,0.8575,71.43,1.085,0.2671,0,False
CHOLAFIN,B,10min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_10min_off_l,long,T_NO,19,0.3773,63.16,2.453,0.25891,0,False
LT,B,10min,t0.0050_ctxW_w0.0050_n0.0070_10min_vm1.5_l,long,T_R_TARGET_1.5R,10,0.3284,60.0,2.141,0.25825,0,False
INDHOTEL,B,5min,t0.0040_ctxW_w0.0050_n0.0070_5min_vm2.0_l,long,T_ATR_SL_0.3,16,0.4727,62.5,1.686,0.21976,0,False
JSWSTEEL,B,5min,t0.0040_ctxW_OR_N_w0.0065_n0.0050_5min_off_s,short,T_ATR_SL_0.3,23,0.6896,52.17,3.288,0.21732,0,False
TATASTEEL,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_s,short,T_NO,11,0.3635,54.55,2.114,0.21595,0,False
TVSMOTOR,B,5min,t0.0050_ctxW_OR_N_w0.0080_n0.0090_5min_off_s,short,T_ATR_SL_0.3,12,0.3867,58.33,1.749,0.20235,0,False
TATAPOWER,B,5min,t0.0050_ctxW_w0.0065_n0.0070_5min_off_s,short,T_ATR_SL_0.5,12,0.7793,58.33,2.093,0.20178,0,False
SAIL,B,10min,t0.0040_ctxW_w0.0050_n0.0070_10min_off_s,short,T_NO,23,0.3146,65.22,1.112,0.19297,0,False
LUPIN,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_off_l,long,T_R_TARGET_1.5R,15,0.3848,53.33,1.954,0.18643,0,False
IOC,B,10min,t0.0050_ctxW_w0.0050_n0.0070_10min_off_s,short,T_NO,10,0.1528,80.0,0.428,0.17685,0,False
COCHINSHIP,B,5min,t0.0030_ctxW_w0.0050_n0.0070_5min_off_s,short,T_ATR_SL_0.3,23,0.2828,60.87,1.273,0.17491,0,False
ADANIPOWER,B,15min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_15min_off_s,short,T_ATR_SL_0.3,17,0.3433,58.82,1.306,0.17285,0,False
RBLBANK,B,5min,t0.0040_ctxW_w0.0065_n0.0070_5min_off_s,short,T_R_TARGET_1.0R,14,0.3193,71.43,0.698,0.17059,0,False
INDUSINDBK,B,5min,t0.0040_ctxW_OR_N_w0.0050_n0.0090_5min_off_s,short,T_ATR_SL_0.3,46,0.3532,52.17,2.008,0.16578,0,False
COALINDIA,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_l,long,T_ATR_SL_0.3,10,0.1162,80.0,0.427,0.1586,0,False
M&M,B,5min,t0.0050_ctxW_w0.0080_n0.0070_5min_off_l,long,T_R_TARGET_1.0R,14,0.4057,50.0,2.153,0.14266,0,False
VEDL,B,5min,t0.0030_ctxW_OR_N_w0.0065_n0.0090_5min_off_l,long,T_ATR_SL_0.3,10,0.2655,60.0,1.156,0.12621,0,False
DRREDDY,B,10min,t0.0030_ctxW_OR_N_w0.0050_n0.0090_10min_off_l,long,T_ATR_SL_0.5,34,0.2052,52.94,1.72,0.10425,0,False
SBILIFE,B,10min,t0.0030_ctxW_w0.0050_n0.0070_10min_off_l,long,T_STEP_TRAIL,14,0.1644,42.86,2.122,0.06802,0,False
