assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone,draw
SHUF1,ABSMOM63,3m,full,230,0.0317,1.84,56.1,24.91,22.95,24.04,0.88,False,1
SHUF1,ABSMOM126,1m,full,229,0.0054,0.3,52.8,21.94,24.49,21.85,0.1,False,1
SHUF1,ABSMOM126,3m,full,227,0.0068,0.4,52.0,23.2,24.71,23.67,-0.47,False,1
SHUF1,ABSMOM252,1m,full,223,0.0219,1.13,50.7,22.65,23.11,21.4,1.25,False,1
SHUF1,ABSMOM252,3m,full,221,0.0268,1.43,54.3,24.11,24.27,23.21,0.9,False,1
SHUF1,MOMSKIP126,1m,full,229,0.011,0.6,49.8,22.65,22.29,23.35,-0.7,False,1
SHUF1,MOMSKIP126,3m,full,227,0.005,0.29,50.7,23.26,24.13,24.23,-0.97,False,1
SHUF1,RISKADJ63,1m,full,232,0.0287,1.5,52.6,24.25,22.22,22.58,1.68,False,1
SHUF1,RISKADJ63,3m,full,230,0.0336,1.94,54.3,24.97,23.31,23.7,1.27,False,1
SHUF1,RISKADJ126,1m,full,229,0.013,0.72,55.5,22.36,22.96,23.05,-0.69,False,1
SHUF1,RISKADJ126,3m,full,227,0.0075,0.45,51.5,23.79,24.08,23.68,0.12,False,1
SHUF1,MADIST200,1m,full,231,0.0077,0.41,55.4,22.23,23.51,22.92,-0.69,False,1
SHUF1,MADIST200,3m,full,229,0.0083,0.48,51.5,23.78,23.6,24.33,-0.54,False,1
SHUF1,ACCEL,1m,full,223,-0.0005,-0.03,48.4,22.76,21.72,22.93,-0.17,False,1
SHUF1,ACCEL,3m,full,221,0.0085,0.46,53.4,24.07,23.13,24.56,-0.48,False,1
SHUF2,ABSMOM63,1m,full,232,0.0356,1.97,55.2,25.07,23.17,21.48,3.59,True,2
SHUF2,ABSMOM63,3m,full,230,0.0737,3.71,61.3,26.17,24.25,22.27,3.91,True,2
SHUF2,ABSMOM126,1m,full,229,0.0402,2.08,55.0,24.28,22.72,21.59,2.69,True,2
SHUF2,ABSMOM126,3m,full,227,0.0809,4.1,63.9,25.73,23.52,23.02,2.71,True,2
SHUF2,ABSMOM252,1m,full,223,0.0314,1.52,54.3,23.37,21.82,22.25,1.13,False,2
SHUF2,ABSMOM252,3m,full,221,0.0508,2.29,58.4,25.3,23.17,23.61,1.69,False,2
SHUF2,MOMSKIP126,1m,full,229,0.0547,2.93,58.5,25.26,21.98,21.23,4.03,True,2
SHUF2,MOMSKIP126,3m,full,227,0.0687,3.6,58.6,25.78,23.04,23.44,2.34,False,2
SHUF2,RISKADJ63,1m,full,232,0.0228,1.3,48.7,24.1,23.51,22.84,1.26,True,2
SHUF2,RISKADJ63,3m,full,230,0.076,4.15,62.6,26.36,24.25,22.77,3.59,True,2
SHUF2,RISKADJ126,1m,full,229,0.0465,2.54,56.3,24.89,22.61,21.67,3.22,True,2
SHUF2,RISKADJ126,3m,full,227,0.0878,4.92,65.2,26.47,24.03,22.58,3.89,True,2
SHUF2,MADIST200,1m,full,231,0.034,1.71,51.5,23.73,24.23,21.02,2.71,False,2
SHUF2,MADIST200,3m,full,229,0.0851,4.09,62.4,25.43,24.34,22.47,2.96,True,2
SHUF2,ACCEL,1m,full,223,0.0048,0.27,48.0,22.71,21.91,22.81,-0.1,False,2
SHUF2,ACCEL,3m,full,221,0.0143,0.75,52.0,24.24,24.17,23.68,0.55,True,2
SHUF3,ABSMOM63,1m,full,232,0.0362,1.81,55.6,23.17,24.12,20.94,2.22,False,3
SHUF3,ABSMOM63,3m,full,230,0.0771,4.11,62.2,24.96,24.22,21.77,3.19,True,3
SHUF3,ABSMOM126,1m,full,229,0.0526,2.67,57.2,24.08,22.57,20.64,3.43,True,3
SHUF3,ABSMOM126,3m,full,227,0.1035,5.26,66.5,25.35,23.37,21.53,3.82,True,3
SHUF3,ABSMOM252,1m,full,223,0.0694,3.27,61.0,24.45,20.8,20.05,4.4,True,3
SHUF3,ABSMOM252,3m,full,221,0.1199,6.0,66.5,25.43,22.71,21.4,4.04,True,3
SHUF3,MOMSKIP126,1m,full,229,0.0542,2.84,60.3,23.73,22.77,20.73,3.0,True,3
SHUF3,MOMSKIP126,3m,full,227,0.0991,5.1,64.8,24.73,23.7,21.85,2.88,True,3
SHUF3,RISKADJ63,1m,full,232,0.0601,3.09,58.2,25.01,22.49,20.9,4.11,True,3
SHUF3,RISKADJ63,3m,full,230,0.1032,5.56,64.3,25.47,24.34,21.3,4.17,True,3
SHUF3,RISKADJ126,1m,full,229,0.0682,3.58,57.6,25.18,21.59,20.65,4.53,True,3
SHUF3,RISKADJ126,3m,full,227,0.1278,6.63,67.0,25.82,23.56,21.03,4.78,True,3
SHUF3,MADIST200,1m,full,231,0.0477,2.39,56.3,23.94,22.64,20.95,2.99,True,3
SHUF3,MADIST200,3m,full,229,0.099,4.99,65.1,25.14,23.63,21.82,3.31,True,3
SHUF3,ACCEL,1m,full,223,-0.0053,-0.27,49.8,21.76,21.48,22.41,-0.65,False,3
SHUF3,ACCEL,3m,full,221,-0.008,-0.41,48.0,23.72,22.15,23.98,-0.26,False,3
SHUF4,ABSMOM63,1m,full,232,0.0249,1.38,52.6,24.16,22.59,21.63,2.53,True,4
SHUF4,ABSMOM63,3m,full,230,0.0254,1.37,56.5,24.18,24.25,23.0,1.17,False,4
SHUF4,ABSMOM126,1m,full,229,0.0273,1.38,54.1,23.28,22.38,21.74,1.54,True,4
SHUF4,ABSMOM126,3m,full,227,0.0461,2.47,56.8,24.74,23.21,22.84,1.9,True,4
SHUF4,ABSMOM252,1m,full,223,0.0632,3.17,56.5,23.71,21.95,20.56,3.15,True,4
SHUF4,ABSMOM252,3m,full,221,0.0641,3.28,59.3,24.67,23.94,22.12,2.56,True,4
SHUF4,MOMSKIP126,1m,full,229,0.0233,1.21,54.1,22.43,23.23,21.8,0.62,False,4
SHUF4,MOMSKIP126,3m,full,227,0.0418,2.22,55.9,24.45,23.21,23.11,1.34,True,4
SHUF4,RISKADJ63,1m,full,232,0.0235,1.28,50.0,23.6,22.28,22.63,0.97,False,4
SHUF4,RISKADJ63,3m,full,230,0.0246,1.32,51.7,24.38,23.63,23.46,0.92,True,4
SHUF4,RISKADJ126,1m,full,229,0.0245,1.25,49.8,21.99,23.56,21.96,0.04,False,4
SHUF4,RISKADJ126,3m,full,227,0.0396,2.18,52.4,24.26,23.38,23.21,1.05,True,4
SHUF4,MADIST200,1m,full,231,0.0402,2.02,52.4,23.89,22.6,21.5,2.38,True,4
SHUF4,MADIST200,3m,full,229,0.0641,3.35,60.3,25.03,23.39,22.57,2.45,True,4
SHUF4,ACCEL,1m,full,223,-0.0049,-0.26,47.1,22.5,21.79,22.27,0.22,False,4
SHUF4,ACCEL,3m,full,221,-0.0326,-1.77,43.4,23.07,23.75,24.42,-1.35,False,4
SHUF5,ABSMOM63,1m,full,232,0.0104,0.55,50.0,22.45,23.68,22.52,-0.07,False,5
SHUF5,ABSMOM63,3m,full,230,0.0602,3.44,62.6,24.65,24.72,21.89,2.76,False,5
SHUF5,ABSMOM126,1m,full,229,0.0613,3.08,59.4,23.64,24.11,19.63,4.01,False,5
SHUF5,ABSMOM126,3m,full,227,0.0839,4.66,64.8,25.1,24.43,21.01,4.09,True,5
SHUF5,ABSMOM252,1m,full,223,0.0401,2.03,58.7,22.39,23.38,20.19,2.2,False,5
SHUF5,ABSMOM252,3m,full,221,0.0461,2.32,59.7,23.74,24.9,21.76,1.98,False,5
SHUF5,MOMSKIP126,1m,full,229,0.0719,3.77,60.3,23.41,23.81,20.17,3.24,False,5
SHUF5,MOMSKIP126,3m,full,227,0.0871,4.74,62.6,25.05,24.04,21.5,3.56,True,5
SHUF5,RISKADJ63,1m,full,232,0.02,1.1,53.9,22.98,24.08,21.56,1.42,False,5
SHUF5,RISKADJ63,3m,full,230,0.0668,3.97,63.9,24.99,23.92,22.36,2.63,True,5
SHUF5,RISKADJ126,1m,full,229,0.0657,3.37,57.2,23.86,23.79,19.74,4.12,True,5
SHUF5,RISKADJ126,3m,full,227,0.1034,6.06,64.8,25.52,24.56,20.47,5.05,True,5
SHUF5,MADIST200,1m,full,231,0.039,1.97,54.5,22.47,25.21,20.21,2.26,False,5
SHUF5,MADIST200,3m,full,229,0.0724,3.96,62.4,24.55,25.05,21.29,3.26,False,5
SHUF5,ACCEL,1m,full,223,-0.0256,-1.27,44.4,21.02,22.38,22.61,-1.59,False,5
SHUF5,ACCEL,3m,full,221,0.0042,0.22,51.6,23.28,23.99,23.03,0.25,False,5
SHUF6,ABSMOM63,1m,full,232,0.0032,0.17,50.0,23.56,22.34,23.62,-0.06,False,6
SHUF6,ABSMOM63,3m,full,230,0.0294,1.53,53.9,24.92,23.65,23.62,1.3,True,6
SHUF6,ABSMOM126,1m,full,229,0.0161,0.88,52.4,23.36,22.93,21.72,1.64,True,6
SHUF6,ABSMOM126,3m,full,227,0.0502,2.74,55.5,24.7,24.33,22.09,2.61,True,6
SHUF6,ABSMOM252,1m,full,223,0.0015,0.07,52.9,21.99,22.85,21.83,0.15,False,6
SHUF6,ABSMOM252,3m,full,221,0.0243,1.25,54.8,23.73,23.83,23.39,0.34,False,6
SHUF6,MOMSKIP126,1m,full,229,0.027,1.49,55.0,23.44,22.55,22.1,1.35,True,6
SHUF6,MOMSKIP126,3m,full,227,0.0584,3.06,56.4,25.12,23.38,22.61,2.51,True,6
SHUF6,RISKADJ63,1m,full,232,0.0151,0.83,49.6,24.02,23.03,22.34,1.68,True,6
SHUF6,RISKADJ63,3m,full,230,0.0419,2.27,59.6,24.85,24.41,22.89,1.95,True,6
SHUF6,RISKADJ126,1m,full,229,0.0208,1.12,50.2,23.31,23.46,21.18,2.13,False,6
SHUF6,RISKADJ126,3m,full,227,0.0565,3.2,55.9,24.85,24.45,21.72,3.13,True,6
SHUF6,MADIST200,1m,full,231,0.0034,0.19,47.2,22.56,23.6,22.66,-0.11,False,6
SHUF6,MADIST200,3m,full,229,0.0393,2.12,57.6,24.49,24.0,23.08,1.41,True,6
SHUF6,ACCEL,1m,full,223,-0.0243,-1.22,47.5,21.95,21.87,22.99,-1.04,False,6
SHUF6,ACCEL,3m,full,221,-0.0134,-0.66,49.8,23.63,23.44,23.97,-0.34,False,6
SHUF7,ABSMOM63,1m,full,232,-0.0044,-0.22,48.7,22.95,23.86,22.1,0.85,False,7
SHUF7,ABSMOM63,3m,full,230,0.0386,2.04,53.5,24.51,24.02,22.99,1.52,True,7
SHUF7,ABSMOM126,1m,full,229,0.0256,1.24,54.6,23.7,22.6,21.43,2.27,True,7
SHUF7,ABSMOM126,3m,full,227,0.0812,4.0,61.2,24.95,24.08,21.68,3.27,True,7
SHUF7,ABSMOM252,1m,full,223,0.0308,1.45,53.4,22.32,23.59,20.28,2.05,False,7
SHUF7,ABSMOM252,3m,full,221,0.0517,2.47,53.8,23.43,24.97,22.03,1.4,False,7
SHUF7,MOMSKIP126,1m,full,229,0.0427,2.16,53.7,24.14,23.15,20.34,3.8,True,7
SHUF7,MOMSKIP126,3m,full,227,0.086,4.33,62.1,25.22,23.88,21.64,3.58,True,7
SHUF7,RISKADJ63,1m,full,232,0.0014,0.07,47.4,22.58,23.49,22.92,-0.34,False,7
SHUF7,RISKADJ63,3m,full,230,0.0397,2.18,57.0,24.64,23.78,23.11,1.53,True,7
SHUF7,RISKADJ126,1m,full,229,0.0279,1.34,52.8,23.0,24.09,20.68,2.32,False,7
SHUF7,RISKADJ126,3m,full,227,0.075,3.76,60.4,24.63,24.32,21.83,2.8,True,7
SHUF7,MADIST200,1m,full,231,0.0143,0.67,53.7,22.83,23.3,22.19,0.64,False,7
SHUF7,MADIST200,3m,full,229,0.0639,3.15,55.0,24.69,24.09,22.36,2.33,True,7
SHUF7,ACCEL,1m,full,223,-0.0404,-1.99,43.5,21.31,21.83,23.4,-2.09,False,7
SHUF7,ACCEL,3m,full,221,-0.0028,-0.15,53.4,23.23,23.69,23.73,-0.5,False,7
SHUF8,ABSMOM63,1m,full,232,0.0589,3.21,61.2,23.9,23.16,19.42,4.48,True,8
SHUF8,ABSMOM63,3m,full,230,0.0922,4.95,67.4,24.69,23.85,20.85,3.84,True,8
SHUF8,ABSMOM126,1m,full,229,0.0606,3.16,58.5,24.01,21.98,19.45,4.56,True,8
SHUF8,ABSMOM126,3m,full,227,0.0924,4.84,61.2,24.59,22.89,21.23,3.35,True,8
SHUF8,ABSMOM252,1m,full,223,0.0546,2.83,61.4,23.23,20.5,20.21,3.03,True,8
SHUF8,ABSMOM252,3m,full,221,0.0807,4.16,63.3,24.26,22.55,21.49,2.76,True,8
SHUF8,MOMSKIP126,1m,full,229,0.0511,2.67,56.3,22.86,22.98,19.8,3.07,False,8
SHUF8,MOMSKIP126,3m,full,227,0.0751,3.99,61.2,23.73,23.52,21.6,2.14,True,8
SHUF8,RISKADJ63,1m,full,232,0.0555,3.11,58.6,24.41,22.31,20.31,4.1,True,8
SHUF8,RISKADJ63,3m,full,230,0.0899,4.99,63.5,25.13,23.33,21.52,3.61,True,8
SHUF8,RISKADJ126,1m,full,229,0.067,3.51,59.0,24.18,22.49,19.42,4.77,True,8
SHUF8,RISKADJ126,3m,full,227,0.1041,5.45,63.9,24.82,23.7,20.77,4.05,True,8
SHUF8,MADIST200,1m,full,231,0.0629,3.21,61.5,24.76,21.96,19.27,5.49,True,8
SHUF8,MADIST200,3m,full,229,0.0954,4.91,63.8,24.78,23.46,20.81,3.96,True,8
SHUF8,ACCEL,1m,full,223,0.0067,0.37,51.1,21.26,22.34,20.54,0.72,False,8
SHUF8,ACCEL,3m,full,221,0.0166,0.94,52.9,22.6,23.5,22.39,0.2,False,8
SHUF9,ABSMOM63,1m,full,232,0.0401,2.19,56.9,24.55,21.95,22.15,2.4,False,9
SHUF9,ABSMOM63,3m,full,230,0.0678,3.82,59.1,25.49,23.4,22.24,3.25,True,9
SHUF9,ABSMOM126,1m,full,229,0.0486,2.7,59.8,24.18,22.23,21.04,3.13,True,9
SHUF9,ABSMOM126,3m,full,227,0.0808,4.16,67.8,24.96,23.56,22.08,2.88,True,9
SHUF9,ABSMOM252,1m,full,223,0.0662,3.45,61.0,24.18,21.56,20.16,4.01,True,9
SHUF9,ABSMOM252,3m,full,221,0.0859,3.86,59.7,25.33,23.1,21.67,3.66,True,9
SHUF9,MOMSKIP126,1m,full,229,0.0378,2.07,56.3,23.87,22.27,21.3,2.57,True,9
SHUF9,MOMSKIP126,3m,full,227,0.0768,3.96,62.6,24.88,23.68,22.03,2.85,True,9
SHUF9,RISKADJ63,1m,full,232,0.0499,2.8,56.5,25.21,22.29,21.06,4.15,True,9
SHUF9,RISKADJ63,3m,full,230,0.0768,4.5,60.0,25.56,23.87,21.64,3.92,True,9
SHUF9,RISKADJ126,1m,full,229,0.0476,2.66,59.0,24.54,21.82,21.01,3.53,True,9
SHUF9,RISKADJ126,3m,full,227,0.0813,4.17,63.9,25.0,23.44,22.11,2.89,True,9
SHUF9,MADIST200,1m,full,231,0.0499,2.75,59.7,24.46,22.47,21.05,3.41,True,9
SHUF9,MADIST200,3m,full,229,0.0788,4.08,62.4,24.98,24.13,21.68,3.3,True,9
SHUF9,ACCEL,1m,full,223,-0.0134,-0.66,46.6,22.16,21.92,22.2,-0.04,False,9
SHUF9,ACCEL,3m,full,221,0.0102,0.54,51.6,23.78,23.73,22.76,1.02,True,9
SHUF10,ABSMOM63,1m,full,232,0.0123,0.67,53.9,23.7,23.17,22.05,1.65,True,10
SHUF10,ABSMOM63,3m,full,230,0.0325,1.72,53.9,25.2,23.44,23.25,1.95,True,10
SHUF10,ABSMOM126,1m,full,229,0.0259,1.45,55.9,23.96,22.15,21.63,2.33,True,10
SHUF10,ABSMOM126,3m,full,227,0.0599,3.14,58.1,25.53,22.53,22.97,2.56,False,10
SHUF10,ABSMOM252,1m,full,223,0.0345,1.78,53.8,22.88,21.74,21.63,1.25,True,10
SHUF10,ABSMOM252,3m,full,221,0.0626,3.38,61.1,24.46,23.07,23.0,1.46,True,10
SHUF10,MOMSKIP126,1m,full,229,0.0342,1.87,57.2,24.09,21.71,22.02,2.08,False,10
SHUF10,MOMSKIP126,3m,full,227,0.0521,2.87,59.9,25.63,21.56,23.94,1.69,False,10
SHUF10,RISKADJ63,1m,full,232,0.025,1.38,53.0,23.65,22.5,22.86,0.8,False,10
SHUF10,RISKADJ63,3m,full,230,0.0445,2.47,56.5,25.21,23.29,23.43,1.77,False,10
SHUF10,RISKADJ126,1m,full,229,0.0319,1.79,55.9,24.37,21.71,21.69,2.68,True,10
SHUF10,RISKADJ126,3m,full,227,0.0682,3.75,59.5,25.93,22.25,22.85,3.08,False,10
SHUF10,MADIST200,1m,full,231,0.0179,0.98,58.0,22.76,22.68,23.06,-0.3,False,10
SHUF10,MADIST200,3m,full,229,0.0544,2.88,58.5,25.0,22.53,23.99,1.02,False,10
SHUF10,ACCEL,1m,full,223,-0.0107,-0.54,49.3,21.87,21.69,23.14,-1.27,False,10
SHUF10,ACCEL,3m,full,221,-0.0338,-1.83,44.8,23.13,23.67,24.16,-1.03,False,10
SHUF11,ABSMOM63,1m,full,232,0.0278,1.43,53.4,23.54,23.86,21.17,2.37,False,11
SHUF11,ABSMOM63,3m,full,230,0.0577,3.03,59.1,24.52,24.74,21.89,2.63,False,11
SHUF11,ABSMOM126,1m,full,229,0.0572,2.95,55.0,23.36,23.91,20.32,3.04,False,11
SHUF11,ABSMOM126,3m,full,227,0.0856,4.71,64.3,24.38,24.73,21.59,2.79,False,11
SHUF11,ABSMOM252,1m,full,223,0.0656,3.41,57.0,23.71,22.98,19.48,4.22,True,11
SHUF11,ABSMOM252,3m,full,221,0.0936,5.0,64.3,24.91,24.32,21.07,3.84,True,11
SHUF11,MOMSKIP126,1m,full,229,0.0624,3.42,57.2,23.43,23.5,20.56,2.87,False,11
SHUF11,MOMSKIP126,3m,full,227,0.092,5.2,70.9,24.13,24.71,21.91,2.22,False,11
SHUF11,RISKADJ63,1m,full,232,0.0338,1.76,56.9,23.53,23.83,21.28,2.25,False,11
SHUF11,RISKADJ63,3m,full,230,0.0598,3.17,57.8,24.57,24.75,21.81,2.77,False,11
SHUF11,RISKADJ126,1m,full,229,0.0561,2.91,57.2,23.24,23.76,20.55,2.69,False,11
SHUF11,RISKADJ126,3m,full,227,0.0872,4.88,64.8,24.57,24.34,21.76,2.81,True,11
SHUF11,MADIST200,1m,full,231,0.0456,2.35,55.8,23.21,24.07,20.7,2.51,False,11
SHUF11,MADIST200,3m,full,229,0.0842,4.37,66.4,24.75,24.66,21.31,3.44,True,11
SHUF11,ACCEL,1m,full,223,-0.025,-1.41,44.4,21.72,22.2,22.72,-1.0,False,11
SHUF11,ACCEL,3m,full,221,-0.0217,-1.23,43.0,23.13,23.49,24.17,-1.04,False,11
SHUF12,ABSMOM63,1m,full,232,0.0229,1.23,54.3,25.16,21.0,23.23,1.93,False,12
SHUF12,ABSMOM63,3m,full,230,0.0301,1.68,53.5,25.29,22.94,24.25,1.03,False,12
SHUF12,ABSMOM126,1m,full,229,0.0425,2.29,56.8,24.67,21.64,21.84,2.83,False,12
SHUF12,ABSMOM126,3m,full,227,0.0535,2.83,56.4,25.37,22.96,23.41,1.96,False,12
SHUF12,ABSMOM252,1m,full,223,0.0273,1.43,57.8,22.72,22.6,21.51,1.21,True,12
SHUF12,ABSMOM252,3m,full,221,0.0339,1.64,57.5,24.55,23.51,23.48,1.07,True,12
SHUF12,MOMSKIP126,1m,full,229,0.0318,1.7,53.3,23.86,21.99,22.44,1.42,False,12
SHUF12,MOMSKIP126,3m,full,227,0.0553,2.96,57.7,24.98,23.63,23.07,1.91,True,12
SHUF12,RISKADJ63,1m,full,232,0.0288,1.63,52.6,24.37,22.42,22.44,1.93,False,12
SHUF12,RISKADJ63,3m,full,230,0.0347,1.96,53.0,24.93,23.2,24.3,0.63,False,12
SHUF12,RISKADJ126,1m,full,229,0.0379,2.07,57.2,24.81,21.4,21.86,2.95,False,12
SHUF12,RISKADJ126,3m,full,227,0.0581,3.19,56.4,25.5,22.8,23.46,2.05,False,12
SHUF12,MADIST200,1m,full,231,0.042,2.22,58.4,24.35,22.33,21.88,2.48,True,12
SHUF12,MADIST200,3m,full,229,0.0582,3.02,58.1,25.24,23.47,23.33,1.91,True,12
SHUF12,ACCEL,1m,full,223,-0.0071,-0.4,51.1,22.61,21.41,23.18,-0.57,False,12
SHUF12,ACCEL,3m,full,221,-0.0121,-0.69,50.2,23.69,23.62,24.52,-0.83,False,12
SHUF13,ABSMOM63,1m,full,232,0.0061,0.33,49.1,23.39,24.24,23.45,-0.06,False,13
SHUF13,ABSMOM63,3m,full,230,-0.0085,-0.44,47.8,24.79,24.22,24.98,-0.19,False,13
SHUF13,ABSMOM126,1m,full,229,0.0243,1.28,55.0,24.01,22.79,23.19,0.82,False,13
SHUF13,ABSMOM126,3m,full,227,0.0205,1.01,52.4,24.47,24.91,24.02,0.45,False,13
SHUF13,ABSMOM252,1m,full,223,0.0178,0.9,52.5,23.07,22.08,23.07,0.0,False,13
SHUF13,ABSMOM252,3m,full,221,0.0273,1.31,55.2,24.47,23.76,24.56,-0.09,False,13
SHUF13,MOMSKIP126,1m,full,229,0.018,0.94,50.7,23.74,22.59,23.68,0.06,False,13
SHUF13,MOMSKIP126,3m,full,227,0.0118,0.6,54.2,24.04,24.87,24.5,-0.46,False,13
SHUF13,RISKADJ63,1m,full,232,0.0123,0.69,49.1,23.74,24.04,23.23,0.51,False,13
SHUF13,RISKADJ63,3m,full,230,0.0015,0.08,51.7,24.8,24.41,24.75,0.05,False,13
SHUF13,RISKADJ126,1m,full,229,0.0284,1.58,53.7,24.37,22.99,22.54,1.83,True,13
SHUF13,RISKADJ126,3m,full,227,0.0296,1.54,53.7,25.42,23.83,24.07,1.35,False,13
SHUF13,MADIST200,1m,full,231,0.007,0.37,49.4,23.24,23.78,23.51,-0.27,False,13
SHUF13,MADIST200,3m,full,229,0.0096,0.47,52.8,24.13,25.47,24.1,0.02,False,13
SHUF13,ACCEL,1m,full,223,-0.0048,-0.25,48.0,23.24,22.07,22.84,0.4,False,13
SHUF13,ACCEL,3m,full,221,-0.0356,-1.98,42.5,23.89,23.97,24.98,-1.09,False,13
SHUF14,ABSMOM63,1m,full,232,-0.0053,-0.28,45.3,23.75,23.16,23.23,0.51,False,14
SHUF14,ABSMOM63,3m,full,230,0.0025,0.13,50.0,24.55,24.3,24.3,0.25,True,14
SHUF14,ABSMOM126,1m,full,229,0.0021,0.11,49.3,22.99,23.22,22.53,0.46,False,14
SHUF14,ABSMOM126,3m,full,227,0.0056,0.29,52.4,23.94,24.66,23.66,0.28,False,14
SHUF14,ABSMOM252,1m,full,223,0.016,0.85,51.6,23.23,21.89,21.7,1.53,True,14
SHUF14,ABSMOM252,3m,full,221,0.0105,0.55,53.4,24.53,22.58,24.36,0.17,False,14
SHUF14,MOMSKIP126,1m,full,229,0.0062,0.33,53.3,22.89,23.39,22.47,0.41,False,14
SHUF14,MOMSKIP126,3m,full,227,0.0062,0.32,54.2,24.31,24.22,23.75,0.56,True,14
SHUF14,RISKADJ63,1m,full,232,0.007,0.38,48.3,22.78,24.8,22.46,0.32,False,14
SHUF14,RISKADJ63,3m,full,230,0.0123,0.62,54.3,24.01,24.91,24.2,-0.19,False,14
SHUF14,RISKADJ126,1m,full,229,0.0134,0.7,50.2,22.98,23.64,22.13,0.85,False,14
SHUF14,RISKADJ126,3m,full,227,0.0233,1.21,55.9,24.8,24.29,23.18,1.62,True,14
SHUF14,MADIST200,1m,full,231,0.0027,0.14,47.6,23.43,22.88,22.98,0.45,False,14
SHUF14,MADIST200,3m,full,229,0.0087,0.44,51.5,24.69,24.13,23.71,0.97,True,14
SHUF14,ACCEL,1m,full,223,-0.0349,-1.87,43.0,21.49,21.71,24.19,-2.71,False,14
SHUF14,ACCEL,3m,full,221,-0.015,-0.78,46.2,23.23,24.03,24.48,-1.24,False,14
SHUF15,ABSMOM63,1m,full,232,0.0127,0.7,53.9,23.78,23.44,21.71,2.07,True,15
SHUF15,ABSMOM63,3m,full,230,0.0436,2.3,56.5,24.9,23.5,23.22,1.68,True,15
SHUF15,ABSMOM126,1m,full,229,0.0166,0.88,56.3,23.29,22.9,21.45,1.84,True,15
SHUF15,ABSMOM126,3m,full,227,0.0467,2.46,53.3,24.99,23.37,22.59,2.4,True,15
SHUF15,ABSMOM252,1m,full,223,0.0136,0.73,53.8,23.83,21.17,21.92,1.91,False,15
SHUF15,ABSMOM252,3m,full,221,0.0366,1.94,54.8,25.36,22.72,23.16,2.2,False,15
SHUF15,MOMSKIP126,1m,full,229,0.028,1.45,53.3,23.54,22.62,21.34,2.2,True,15
SHUF15,MOMSKIP126,3m,full,227,0.0412,2.15,52.9,24.26,24.03,22.63,1.64,True,15
SHUF15,RISKADJ63,1m,full,232,0.017,0.98,53.0,23.51,23.37,22.09,1.42,True,15
SHUF15,RISKADJ63,3m,full,230,0.0457,2.47,56.5,24.88,23.66,23.12,1.76,True,15
SHUF15,RISKADJ126,1m,full,229,0.0211,1.16,54.6,23.37,22.33,21.89,1.48,True,15
SHUF15,RISKADJ126,3m,full,227,0.0418,2.2,52.0,24.63,23.59,22.76,1.87,True,15
SHUF15,MADIST200,1m,full,231,0.0112,0.6,55.0,23.35,23.08,21.77,1.58,True,15
SHUF15,MADIST200,3m,full,229,0.0394,2.01,54.6,24.44,24.04,22.72,1.72,True,15
SHUF15,ACCEL,1m,full,223,0.0014,0.08,49.8,22.73,21.66,22.6,0.13,False,15
SHUF15,ACCEL,3m,full,221,0.0113,0.62,53.4,24.51,22.74,23.99,0.52,False,15
SHUF16,ABSMOM63,1m,full,232,0.0338,1.82,55.2,25.89,23.49,22.73,3.17,True,16
